21,Пятница 01.03.2024,18:00-19:30,Общая биология и экология (Дос521),История ветеринарии ЛПЗ + ЗАЧЕТ (Улк313),История ветеринарии ЛПЗ + ЗАЧЕТ (Улк311),Анатомия животных (Ан105),2024-03-01,01032024
38,Пятница 22.03.2024,19:45-21:15,Русский язык и культура речи (Дос524),Иностранный язык (Дос518),Анатомия животных (Ан105),Общая биология и экология (Дос521),2024-03-22,22032024
6,Пятница 09.02.2024,19:45-21:15,"Русский язык и культура речи (лекция), аудитория 1, Главный корпус (доц. Ляшенко Т.М.) + 1 ФЗТА","Русский язык и культура речи (лекция), аудитория 1, Главный корпус (доц. Ляшенко Т.М.) + 1 ФЗТА","Русский язык и культура речи (лекция), аудитория 1, Главный корпус (доц. Ляшенко Т.М.) + 1 ФЗТА","Русский язык и культура речи (лекция), аудитория 1, Главный корпус (доц. Ляшенко Т.М.) + 1 ФЗТА",2024-02-09,09022024
7,Понедельник 12.02.2024,18:00-19:30,"Общая биология и экология (лекция), аудитория 1, Главный корпус (доц. Алпатов В.В.)","Общая биология и экология (лекция), аудитория 1, Главный корпус (доц. Алпатов В.В.)","Общая биология и экология (лекция), аудитория 1, Главный корпус (доц. Алпатов В.В.)","Общая биология и экология (лекция), аудитория 1, Главный корпус (доц. Алпатов В.В.)",2024-02-12,12022024
77,Среда 15.05.2024,18:00-19:30,Философия (Гл247),Ветеринарная генетика (Гл304),История России (Гл252),Ветеринарная генетика (Гл306),2024-05-15,15052024
78,Среда 15.05.2024,19:45-21:15,Философия (Гл247),Ветеринарная генетика (Гл304),История России (Гл252),Ветеринарная генетика (Гл306),2024-05-15,15052024
8,Понедельник 12.02.2024,19:45-21:15,"Общая биология и экология (лекция), аудитория 1, Главный корпус (доц. Алпатов В.В.)","Общая биология и экология (лекция), аудитория 1, Главный корпус (доц. Алпатов В.В.)","Общая биология и экология (лекция), аудитория 1, Главный корпус (доц. Алпатов В.В.)","Общая биология и экология (лекция), аудитория 1, Главный корпус (доц. Алпатов В.В.)",2024-02-12,12022024
9,Среда 14.02.2024,18:00-19:30,Иностранный язык (Дос518) (Нем./Англ.),История ветеринарии (Улк313),Анатомия животных (Ан105),Русский язык и культура речи (Дос524),2024-02-14,14022024
10,Среда 14.02.2024,19:45-21:15,Иностранный язык (Дос518) (Нем./Англ.),История ветеринарии (Улк313),Анатомия животных (Ан105),Русский язык и культура речи (Дос524),2024-02-14,14022024
11,Пятница 16.02.2024,18:00-19:30,История ветеринарии (Улк313),Иностранный язык (Дос518),Русский язык и культура речи (Дос524),Общая биология и экология (Дос521),2024-02-16,16022024
12,Пятница 16.02.2024,19:45-21:15,История ветеринарии (Улк313),Иностранный язык (Дос518),Русский язык и культура речи (Дос524),Общая биология и экология (Дос521),2024-02-16,16022024
13,Понедельник 19.02.2024,18:00-19:30,Анатомия животных (Ан105),Иностранный язык (Дос518),История ветеринарии (Улк313),Иностранный язык (Дос524),2024-02-19,19022024
14,Понедельник 19.02.2024,19:45-21:15,Анатомия животных (Ан105),Иностранный язык (Дос518),История ветеринарии (Улк313),Иностранный язык (Дос524),2024-02-19,19022024
15,Среда 21.02.2024,18:00-19:30,Иностранный язык (Дос524) (Нем./Англ.),Анатомия животных (Ан105),Общая биология и экология (Дос521),История ветеринарии (Улк313),2024-02-21,21022024
